normalized_name,ticker,note
HMM,011200,
에이치엠엠,011200,
SK텔레콤,017670,
두산에너빌리티,034020,
에코프로,086520,
해성티피씨,059270,해성에어로보틱스로 사명변경
현대글로비스,086280,
HD현대,267250,
에이치디현대,267250,
SK이터닉스,475150,
에스케이이터닉스,475150,
삼성전자,005930,
한전KPS,051600,
현대자동차2우선주(신형),005387,현대차2우B
현대차2우B,005387,
TIGER 미국S&P500,360750,
미래에셋 TIGER 미국S&P500증권상장지수투자신탁(주식,360750,
TIGER 미국나스닥100,133690,
미래에셋 TIGER 미국나스닥100증권상장지수투자신탁(주식,133690,
금 현물 99.99_1Kg,GOLD_KRW_G,COMEX GC=F -> KRW/g (KRX 근사)
인텔,INTC,
팔란티어 테크,PLTR,
팔란티어 테크놀로지스,PLTR,
뉴스케일 파워,SMR,
버라이존,VZ,
알트리아그룹,MO,
엑슨 모빌,XOM,
로블록스,RBLX,
알파벳A,GOOGL,
엔비디아,NVDA,
아이온큐,IONQ,
오클로,OKLO,
AMD,AMD,
SPDR 금 ETF,GLD,
iShares 0-3 Month 미국 국고채 ETF,SGOV,
